Region;Alder;Tid;value
0101;F0-19;2013;7170
0101;F0-19;2014;7183
0101;F0-19;2015;7126
0101;F20-64;2013;17287
0101;F20-64;2014;17399
0101;F20-64;2015;17524
0101;F65+;2013;5423
0101;F65+;2014;5550
0101;F65+;2015;5678
0104;F0-19;2013;7295
0104;F0-19;2014;7309
0104;F0-19;2015;7357
0104;F20-64;2013;18150
0104;F20-64;2014;18216
0104;F20-64;2015;18473
0104;F65+;2013;5543
0104;F65+;2014;5783
0104;F65+;2015;5972
0105;F0-19;2013;13190
0105;F0-19;2014;13177
0105;F0-19;2015;13167
0105;F20-64;2013;31144
0105;F20-64;2014;31345
0105;F20-64;2015;31325
0105;F65+;2013;9362
0105;F65+;2014;9537
0105;F65+;2015;9700
0106;F0-19;2013;18596
0106;F0-19;2014;18583
0106;F0-19;2015;18622
0106;F20-64;2013;45002
0106;F20-64;2014;45497
0106;F20-64;2015;45698
0106;F65+;2013;13209
0106;F65+;2014;13511
0106;F65+;2015;13839
0111;F0-19;2013;921
0111;F0-19;2014;922
0111;F0-19;2015;922
0111;F20-64;2013;2502
0111;F20-64;2014;2540
0111;F20-64;2015;2569
0111;F65+;2013;861
0111;F65+;2014;924
0111;F65+;2015;989
0118;F0-19;2013;343
0118;F0-19;2014;330
0118;F0-19;2015;323
0118;F20-64;2013;786
0118;F20-64;2014;778
0118;F20-64;2015;789
0118;F65+;2013;296
0118;F65+;2014;300
0118;F65+;2015;294
0119;F0-19;2013;811
0119;F0-19;2014;788
0119;F0-19;2015;795
0119;F20-64;2013;1992
0119;F20-64;2014;1995
0119;F20-64;2015;1974
0119;F65+;2013;784
0119;F65+;2014;813
0119;F65+;2015;844
0121;F0-19;2013;155
0121;F0-19;2014;150
0121;F0-19;2015;144
0121;F20-64;2013;377
0121;F20-64;2014;360
0121;F20-64;2015;373
0121;F65+;2013;159
0121;F65+;2014;162
0121;F65+;2015;155
0122;F0-19;2013;1267
0122;F0-19;2014;1270
0122;F0-19;2015;1256
0122;F20-64;2013;3060
0122;F20-64;2014;3109
0122;F20-64;2015;3095
0122;F65+;2013;946
0122;F65+;2014;987
0122;F65+;2015;995
0123;F0-19;2013;1376
0123;F0-19;2014;1422
0123;F0-19;2015;1451
0123;F20-64;2013;3165
