"tid","region","kjonn","bruttoinnt","allm_innt","folkemengde","ald_pensjonist_over_62","ant_trangbodde","ant_selveiere"
"2015","0","1",530100,404600,2076912,395370,271712,1830278
"2016","0","1",522900,404300,2107857,408246,273420,1846632
"2017","0","1",533900,412900,2136547,420070,276036,1854828
"2015","0","2",354000,252300,2095892,429971,253427,1776385
"2016","0","2",359000,258000,2121992,440740,255581,1792024
"2017","0","2",369600,264600,2146637,449893,259362,1800508
"2015","01","1",470400,348000,120969,24210,12763,102575
"2016","01","1",468900,351900,122683,24925,13085,103372
"2017","01","1",482400,362800,124427,25694,13379,104217
"2015","01","2",323900,224100,123901,26781,12007,99331
"2016","01","2",330500,230800,125285,27447,12311,99997
"2017","01","2",341000,237600,126553,28157,12701,100816
"2015","0101","1",449100,330800,13009,2671,1190,11152
"2016","0101","1",449600,336500,13168,2733,1334,11214
"2017","0101","1",460800,342300,13310,2800,1387,11211
"2015","0101","2",313000,217500,13218,2936,1168,10603
"2016","0101","2",317600,221000,13323,3007,1217,10679
"2017","0101","2",334100,233800,13385,3079,1231,10658
"2015","0104","1",477200,354000,15452,2747,1750,9092
"2016","0104","1",468500,352500,15680,2778,1780,9150
"2017","0104","1",481800,361900,15769,2860,1806,9208
"2015","0104","2",335500,232400,15787,3119,1659,8980
"2016","0104","2",341400,239300,15954,3198,1693,9080
"2017","0104","2",353300,247200,16086,3306,1733,9116
"2015","0105","1",450000,332400,24308,4401,2773,18468
"2016","0105","1",452300,338200,24581,4530,2747,18654
"2017","0105","1",463900,347200,24817,4651,2830,18653
"2015","0105","2",314300,216000,24790,5044,2578,17772
"2016","0105","2",320800,222600,25003,5151,2571,17820
"2017","0105","2",329000,226800,25189,5227,2738,17875
"2015","0106","1",469900,350300,35612,6372,3788,28470
"2016","0106","1",471200,356800,35956,6549,3943,28656
"2017","0106","1",481400,365100,36773,6781,3967,29206
"2015","0106","2",325800,226700,36674,7214,3565,28239
"2016","0106","2",332900,233900,36981,7373,3773,28357
"2017","0106","2",340500,238500,37582,7522,3881,28819
"2015","0124","1",468300,344400,6928,1249,769,5685
"2016","0124","1",465000,347800,6964,1295,797,5698
"2017","0124","1",491900,375500,7030,1342,844,5717
"2015","0124","2",317900,216900,7075,1377,743,5518
"2016","0124","2",325200,225300,7173,1409,772,5562
"2017","0124","2",336300,231700,7229,1476,813,5594
"2015","0125","1",450600,330000,3787,953,519,3898
"2016","0125","1",447500,329100,3904,985,498,3840
"2017","0125","1",466200,345600,3963,1023,499,3866
"2015","0125","2",313100,215100,3921,1058,471,3661
"2016","0125","2",320700,222800,3984,1091,488,3668
"2017","0125","2",335100,235300,4017,1140,475,3663
"2015","0136","1",518500,388300,6820,1309,491,5259
"2016","0136","1",510200,389900,6961,1348,501,5325
"2017","0136","1",537800,416500,7102,1399,492,5461
"2015","0136","2",342000,237100,6938,1404,500,5070
"2016","0136","2",353300,250700,7013,1460,481,5149
"2017","0136","2",362200,255800,7156,1526,467,5312
"2015","02","1",614600,486100,260933,41723,27857,221022
"2016","02","1",603500,485600,266052,43158,28529,224362
"2017","02","1",621900,502200,271389,44519,28856,227091
"2015","02","2",398300,292000,265290,46238,25775,221730
"2016","02","2",401400,297800,269909,47618,26480,225243
"2017","02","2",414600,306800,274664,48786,27021,228330
"2015","0211","1",570700,433200,6732,1278,470,6862
"2016","0211","1",559900,433800,6875,1329,501,7045
"2017","0211","1",571300,443700,7114,1362,542,7164
"2015","0211","2",372800,261200,6880,1262,508,6824
"2016","0211","2",381300,272300,7066,1323,517,7055
"2017","0211","2",394700,281600,7225,1382,546,7200
"2015","0213","1",563100,439000,13097,2181,1309,12310
"2016","0213","1",561700,446300,13387,2232,1278,12405
"2017","0213","1",568400,448600,13662,2279,1381,12551
"2015","0213","2",384500,278900,13434,2347,1223,12429
"2016","0213","2",388500,284400,13672,2401,1203,12545
"2017","0213","2",398200,289800,13837,2430,1265,12627
"2015","0214","1",495700,375000,7892,1202,1416,6803
"2016","0214","1",501500,386800,8073,1247,1480,6883
"2017","0214","1",520000,398400,8174,1274,1495,6920
"2015","0214","2",358000,256700,7682,1315,1263,6888
"2016","0214","2",366200,265900,7929,1357,1390,6973
"2017","0214","2",386200,278400,8067,1397,1421,6991
"2015","0215","1",642400,510200,6506,1389,547,5940
"2016","0215","1",625100,507000,6524,1427,539,5944
"2017","0215","1",645600,525800,6518,1464,430,5752
"2015","0215","2",388800,280600,6899,1478,520,6026
"2016","0215","2",401200,295800,6907,1525,499,6006
"2017","0215","2",408200,298200,6891,1544,425,5868
"2015","0216","1",550500,426700,7929,1240,709,6786
"2016","0216","1",555300,438200,8009,1294,722,6854
"2017","0216","1",571700,454800,8147,1372,702,6969
"2015","0216","2",389700,281000,8334,1362,718,6927
"2016","0216","2",399400,292200,8438,1407,725,6989
"2017","0216","2",408500,297800,8567,1447,726,7157
