aar;fylke_nr_navn;kommune_nr_navn;stoenadsomraade_gruppe;kapittel;stoenadsomraade;utbetalt_mill_kr;oppdatert_dato
2014;01 Østfold;0101 Halden;Arbeidsliv og sykdom;0634;Tiltakspenger;8,24;24102018
2014;01 Østfold;0101 Halden;Arbeidsliv og sykdom;2541;Dagpenger;64,97;24102018
2014;01 Østfold;0101 Halden;Arbeidsliv og sykdom;2620;Stønad til enslig mor eller far;30,50;24102018
2014;01 Østfold;0101 Halden;Arbeidsliv og sykdom;2650;Sykepenger;231,55;24102018
2014;01 Østfold;0101 Halden;Arbeidsliv og sykdom;2651;Arbeidsavklaringspenger;251,23;24102018
2014;01 Østfold;0101 Halden;Arbeidsliv og sykdom;2655;Uføretrygd og yrkesskade;537,88;24102018
2014;01 Østfold;0101 Halden;Barn og foreldre;0844;Kontantstøtte;8,52;24102018
2014;01 Østfold;0101 Halden;Barn og foreldre;0845;Barnetrygd;84,31;24102018
2014;01 Østfold;0101 Halden;Barn og foreldre;2530;Foreldrepenger;86,52;24102018
2014;01 Østfold;0101 Halden;Pensjoner;0660;Krigspensjon;1,82;24102018
2014;01 Østfold;0101 Halden;Pensjoner;0667;Supplerende stønad;2,14;24102018
2014;01 Østfold;0101 Halden;Pensjoner;2670;Alderspensjon;1160,31;24102018
2014;01 Østfold;0101 Halden;Pensjoner;2680;Ytelser til gjenlevende;14,97;24102018
2014;01 Østfold;0101 Halden;Øvrig;2661;Grunn- og hjelpestønad;21,59;24102018
2014;01 Østfold;0104 Moss;Arbeidsliv og sykdom;0634;Tiltakspenger;7,57;24102018
2014;01 Østfold;0104 Moss;Arbeidsliv og sykdom;2541;Dagpenger;80,75;24102018
2014;01 Østfold;0104 Moss;Arbeidsliv og sykdom;2620;Stønad til enslig mor eller far;27,20;24102018
2014;01 Østfold;0104 Moss;Arbeidsliv og sykdom;2650;Sykepenger;230,88;24102018
2014;01 Østfold;0104 Moss;Arbeidsliv og sykdom;2651;Arbeidsavklaringspenger;253,88;24102018
2014;01 Østfold;0104 Moss;Arbeidsliv og sykdom;2655;Uføretrygd og yrkesskade;585,92;24102018
2014;01 Østfold;0104 Moss;Barn og foreldre;0844;Kontantstøtte;8,37;24102018
2014;01 Østfold;0104 Moss;Barn og foreldre;0845;Barnetrygd;87,77;24102018
2014;01 Østfold;0104 Moss;Barn og foreldre;2530;Foreldrepenger;91,89;24102018
2014;01 Østfold;0104 Moss;Pensjoner;0660;Krigspensjon;1,27;24102018
2014;01 Østfold;0104 Moss;Pensjoner;0667;Supplerende stønad;4,72;24102018
2014;01 Østfold;0104 Moss;Pensjoner;2670;Alderspensjon;1251,74;24102018
2014;01 Østfold;0104 Moss;Pensjoner;2680;Ytelser til gjenlevende;13,46;24102018
2014;01 Østfold;0104 Moss;Øvrig;2661;Grunn- og hjelpestønad;22,71;24102018
2014;01 Østfold;0105 Sarpsborg;Arbeidsliv og sykdom;0634;Tiltakspenger;14,70;24102018
2014;01 Østfold;0105 Sarpsborg;Arbeidsliv og sykdom;2541;Dagpenger;132,18;24102018
2014;01 Østfold;0105 Sarpsborg;Arbeidsliv og sykdom;2620;Stønad til enslig mor eller far;57,03;24102018
2014;01 Østfold;0105 Sarpsborg;Arbeidsliv og sykdom;2650;Sykepenger;451,86;24102018
2014;01 Østfold;0105 Sarpsborg;Arbeidsliv og sykdom;2651;Arbeidsavklaringspenger;531,44;24102018
2014;01 Østfold;0105 Sarpsborg;Arbeidsliv og sykdom;2655;Uføretrygd og yrkesskade;1005,48;24102018
2014;01 Østfold;0105 Sarpsborg;Barn og foreldre;0844;Kontantstøtte;15,95;24102018
2014;01 Østfold;0105 Sarpsborg;Barn og foreldre;0845;Barnetrygd;159,71;24102018
2014;01 Østfold;0105 Sarpsborg;Barn og foreldre;2530;Foreldrepenger;151,81;24102018
2014;01 Østfold;0105 Sarpsborg;Pensjoner;0660;Krigspensjon;3,27;24102018
2014;01 Østfold;0105 Sarpsborg;Pensjoner;0667;Supplerende stønad;11,07;24102018
2014;01 Østfold;0105 Sarpsborg;Pensjoner;2670;Alderspensjon;1967,39;24102018
2014;01 Østfold;0105 Sarpsborg;Pensjoner;2680;Ytelser til gjenlevende;26,90;24102018
2014;01 Østfold;0105 Sarpsborg;Øvrig;2661;Grunn- og hjelpestønad;46,24;24102018
2014;01 Østfold;0106 Fredrikstad;Arbeidsliv og sykdom;0634;Tiltakspenger;23,72;24102018
